stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
31050,31050,31050,31050,49274
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31050,31050,31050,0
31050,31100,31150,30950,33149
31100,31250,31250,31100,11939
31250,31175,31300,31150,14987
31175,31000,31200,31000,13542
31050,31100,31100,31000,10723
31100,31050,31100,31000,11035
31050,31150,31350,31050,15065
31150,31300,31300,31100,15184
31250,31550,31550,31200,22634
31550,31400,31550,31300,27887
31400,31350,31400,31200,15635
31300,31250,31350,31250,6178
31250,31400,31450,31200,19653
31400,31050,31500,31000,25279
31000,31000,31100,30900,7741
31050,31150,31150,30950,8872
31150,31050,31250,30950,14825
31000,30800,31000,30700,9394
30800,31050,31100,30550,34826
31050,30850,31100,30800,23435
30850,31000,31000,30850,9132
31000,31050,31100,30800,11846
31000,31100,31100,30950,11650
31100,31350,31350,30900,42428
31350,31350,31375,31250,6726
31375,31350,31400,31250,6821
31400,31250,31450,31150,8780
31250,31300,31400,31200,6660
31200,31550,31550,31150,23934
31600,31550,31700,31350,24109
31500,31550,31550,31350,20662
31550,31500,31650,31300,27047
31500,31550,31650,31300,20450
31550,31400,31800,31250,47568
31400,31400,31450,31150,23386
31400,31250,31550,31050,22537
31250,31050,31250,30950,7944
31100,31350,31400,30950,31657
31350,30700,31350,30700,29156
30750,30650,30850,30550,18689
30650,30700,30750,30500,19708
30650,30700,30850,30650,8125
30700,30900,30900,30650,14427
30950,30600,31050,30600,15080
30650,30950,30950,30650,11288
31000,30750,31100,30650,34070
30750,30700,30850,30650,14715
30700,30950,30950,30500,25590
30950,30750,31000,30650,29035
30700,30800,30950,30650,36177
30800,31100,31150,30300,97981
31100,31200,31250,31050,15772
31200,31200,31300,31100,16769
31250,31450,31500,31200,15626
31450,31200,31450,31100,15222
31150,31250,31300,31050,12690
31250,31100,31300,31100,7893
31050,31100,31150,31000,21303
31150,31050,31200,31050,19733
31050,31400,31400,31050,24969
31400,31250,31500,31200,12555
31250,31325,31400,31200,9435
31300,31100,31350,31050,30334
31150,31600,31600,31075,48218
31600,31700,31700,31500,17282
31650,31500,31750,31500,16757
31500,31500,31800,31350,41891
31500,31300,31550,31200,21653
31300,31450,31550,31250,26832
31500,31250,31600,31200,30217
31300,31500,31500,31250,34507
31500,31100,31550,31050,44440
31200,31650,31700,31000,106012
31700,31600,31800,31400,68116
31650,32150,32150,31450,124387
32100,32400,32400,32100,27586
32400,32100,32400,32000,33084
32100,32300,32350,31800,46475
32300,32150,32400,32100,24831
32150,32150,32400,32100,29038
