stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
19710.0,19860.0,19980.0,19650.0,52355
19900.0,19790.0,19990.0,19540.0,132651
19800.0,20000.0,20000.0,19640.0,195606
20000.0,20050.0,20100.0,19910.0,70112
20000.0,20100.0,20250.0,19870.0,186769
19990.0,21150.0,21300.0,19990.0,273613
21150.0,21300.0,21350.0,21000.0,40110
21300.0,21300.0,21650.0,21200.0,138726
21300.0,20750.0,21450.0,20700.0,121434
20700.0,20600.0,20950.0,20600.0,31105
20600.0,21000.0,21050.0,20600.0,45963
21000.0,21100.0,21250.0,20750.0,52605
21100.0,21150.0,21350.0,21050.0,35599
21150.0,21250.0,21250.0,20900.0,38954
21250.0,21150.0,21350.0,21050.0,28249
21150.0,21350.0,21500.0,21050.0,37283
21300.0,21550.0,21600.0,21150.0,51831
21550.0,21050.0,21550.0,21000.0,35910
21000.0,21100.0,21350.0,20950.0,34803
21100.0,21400.0,21550.0,20950.0,54079
21400.0,21200.0,21550.0,20950.0,89618
21200.0,20900.0,21250.0,20850.0,72655
20850.0,20900.0,21050.0,20650.0,86320
20950.0,21050.0,21250.0,20850.0,106576
21050.0,21400.0,21450.0,20800.0,180698
21425.0,21575.0,21650.0,21250.0,136796
21550.0,21850.0,21900.0,21450.0,89237
21850.0,22050.0,22050.0,21750.0,50412
22000.0,22000.0,22200.0,21950.0,33533
22000.0,22000.0,22200.0,21850.0,43369
22050.0,22400.0,22400.0,21900.0,88564
22350.0,21750.0,22500.0,21700.0,181167
21700.0,21850.0,21850.0,21650.0,38014
21800.0,21850.0,22050.0,21700.0,57887
21850.0,22000.0,22050.0,21850.0,41376
22000.0,22000.0,22250.0,21750.0,139633
21950.0,22100.0,22300.0,21900.0,111272
22100.0,22150.0,22500.0,21950.0,311582
22150.0,22050.0,22400.0,21900.0,361069
22000.0,20750.0,22200.0,20650.0,338703
20750.0,20700.0,20900.0,20500.0,51484
20700.0,21000.0,21100.0,20400.0,107944
21000.0,20900.0,21150.0,20700.0,83503
20900.0,20650.0,20900.0,20400.0,90707
20600.0,20850.0,21100.0,20550.0,100548
20900.0,21150.0,21150.0,20350.0,197415
21150.0,21050.0,21150.0,20650.0,188305
21100.0,21300.0,21550.0,20850.0,194070
21350.0,21350.0,21750.0,21050.0,272713
21350.0,21200.0,21650.0,20950.0,515918
21200.0,20000.0,21450.0,19960.0,678815
20000.0,19320.0,20200.0,19310.0,369084
19230.0,19180.0,19440.0,19090.0,118711
19170.0,19350.0,19360.0,18960.0,202829
19350.0,19530.0,19760.0,19350.0,121403
19530.0,19790.0,19830.0,19010.0,357407
19760.0,19960.0,20100.0,19680.0,116503
19950.0,19870.0,20200.0,19600.0,250818
19870.0,20100.0,20700.0,19750.0,594114
20100.0,19960.0,20150.0,19540.0,419848
19960.0,20200.0,20450.0,19650.0,983747
20050.0,19140.0,20050.0,18980.0,545589
19140.0,19070.0,19600.0,18820.0,653609
19070.0,18400.0,19350.0,18020.0,490554
18390.0,17920.0,18490.0,17880.0,283609
17940.0,18530.0,18840.0,17530.0,569009
18540.0,18780.0,19300.0,18260.0,710180
18780.0,17770.0,19150.0,17610.0,988389
17780.0,17640.0,18310.0,17540.0,601484
17670.0,17850.0,18020.0,16540.0,1093326
17850.0,18435.0,18800.0,17090.0,914736
18435.0,20100.0,20600.0,18320.0,1251625
17710.0,17710.0,17710.0,17710.0,13
