stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
93980.0,93980.0,93980.0,93980.0,0
93945.0,93945.0,93945.0,93945.0,0
93945.0,93945.0,93945.0,93945.0,9
93910.0,93910.0,93910.0,93910.0,0
93910.0,93910.0,93910.0,93910.0,60
94010.0,94010.0,94010.0,94010.0,0
94010.0,94010.0,94010.0,94010.0,10
93990.0,93990.0,93990.0,93990.0,0
93965.0,93965.0,93965.0,93965.0,1
93905.0,93905.0,93905.0,93905.0,0
94240.0,94240.0,94240.0,94240.0,0
94265.0,94265.0,94265.0,94265.0,2
94265.0,94265.0,94265.0,94265.0,4
94240.0,94240.0,94240.0,94240.0,19
94190.0,94190.0,94190.0,94190.0,0
94120.0,94120.0,94120.0,94120.0,10
94095.0,94095.0,94095.0,94095.0,13
93985.0,93985.0,93985.0,93985.0,21
94015.0,94015.0,94015.0,94015.0,0
94195.0,94195.0,94195.0,94195.0,0
94330.0,94330.0,94330.0,94330.0,28
94310.0,94310.0,94310.0,94310.0,0
