stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
50160,50160,50160,50160,300
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,1
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,1
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
50160,50160,50160,50160,0
