stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
11735,11735,11735,11735,2
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,1
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
11735,11735,11735,11735,0
