stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
10005,10005,10005,10005,473
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
10000,10000,10000,10000,0
