stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
15000.0,15220.0,14840.0,15220.0,0
15220.0,15230.0,14855.0,14920.0,1019828
14920.0,14930.0,14605.0,14655.0,941467
14660.0,14950.0,14615.0,14900.0,428401
14900.0,14910.0,14865.0,14905.0,258934
14905.0,15060.0,14905.0,15060.0,308675
15060.0,15065.0,14830.0,14835.0,283928
14835.0,14835.0,14540.0,14670.0,489293
14670.0,14700.0,14645.0,14670.0,280060
14675.0,14675.0,14565.0,14590.0,299885
14590.0,14650.0,14550.0,14565.0,265620
14565.0,14565.0,14400.0,14500.0,330658
14530.0,14615.0,14515.0,14570.0,303665
14570.0,14575.0,14335.0,14345.0,292390
14340.0,14370.0,14200.0,14330.0,554872
14330.0,14495.0,14300.0,14345.0,291581
14345.0,14420.0,14340.0,14370.0,201422
14380.0,14400.0,14300.0,14310.0,197250
14320.0,14395.0,14320.0,14395.0,104812
14395.0,14450.0,14380.0,14380.0,155529
14385.0,14395.0,14305.0,14320.0,179250
14315.0,14395.0,14310.0,14360.0,149489
14360.0,14365.0,14320.0,14350.0,107291
14350.0,14365.0,14300.0,14310.0,166737
14300.0,14340.0,14285.0,14295.0,184667
14290.0,14295.0,14195.0,14200.0,206697
14200.0,14220.0,14110.0,14140.0,258238
14135.0,14140.0,13925.0,13930.0,493711
13930.0,14040.0,13840.0,13905.0,560516
13905.0,13955.0,13860.0,13945.0,178320
13945.0,13945.0,13865.0,13895.0,231421
13895.0,13970.0,13815.0,13965.0,278736
13970.0,14045.0,13880.0,14045.0,270898
14040.0,14190.0,14030.0,14180.0,199067
14180.0,14185.0,14100.0,14147.0,113891
14147.0,14175.0,14140.0,14155.0,79523
14155.0,14235.0,14145.0,14230.0,97939
14230.0,14250.0,14195.0,14225.0,67463
14220.0,14385.0,14220.0,14325.0,194557
14325.0,14327.0,14240.0,14260.0,102313
14260.0,14325.0,14255.0,14280.0,126155
14280.0,14295.0,14255.0,14255.0,82737
14257.0,14260.0,14190.0,14215.0,108891
14215.0,14215.0,14150.0,14155.0,124706
14155.0,14230.0,14135.0,14205.0,123509
14205.0,14225.0,14170.0,14200.0,48309
14200.0,14200.0,14160.0,14190.0,57509
14190.0,14240.0,14135.0,14135.0,126639
14150.0,14160.0,14095.0,14100.0,138767
14100.0,14100.0,14000.0,14035.0,228093
14045.0,14060.0,14010.0,14030.0,133667
14050.0,14060.0,13925.0,14030.0,382819
14030.0,14085.0,14030.0,14075.0,170504
14075.0,14100.0,14030.0,14100.0,261982
14105.0,14120.0,14035.0,14055.0,201675
14060.0,14100.0,14055.0,14090.0,50811
14095.0,14100.0,14070.0,14075.0,78180
14075.0,14080.0,14045.0,14050.0,74803
14050.0,14065.0,14040.0,14060.0,56238
14060.0,14092.0,14035.0,14065.0,157499
14065.0,14085.0,14055.0,14065.0,80008
14065.0,14085.0,14055.0,14055.0,102561
14060.0,14060.0,14010.0,14010.0,110170
14015.0,14070.0,14010.0,14050.0,123783
14055.0,14085.0,14050.0,14060.0,78337
14055.0,14060.0,13975.0,13980.0,142042
13980.0,13995.0,13935.0,13970.0,217321
13980.0,13985.0,13960.0,13980.0,50245
13980.0,14030.0,13952.0,13990.0,97826
13985.0,13985.0,13960.0,13970.0,71542
13970.0,13985.0,13945.0,13960.0,72972
13960.0,14005.0,13945.0,13950.0,86241
14050.0,14260.0,13900.0,13960.0,532126
13965.0,14240.0,13885.0,14215.0,304033
14225.0,14275.0,14085.0,14110.0,273887
14110.0,14130.0,14010.0,14050.0,173599
14030.0,14180.0,14005.0,14167.0,185972
14167.0,14205.0,14120.0,14165.0,213883
14165.0,14300.0,14150.0,14270.0,221486
14280.0,14425.0,14255.0,14425.0,296720
14425.0,14450.0,14395.0,14405.0,242088
14405.0,14430.0,14380.0,14415.0,185855
14415.0,14420.0,14340.0,14340.0,139728
14340.0,14345.0,14255.0,14330.0,160944
14335.0,14400.0,14315.0,14370.0,98065
14370.0,14380.0,14345.0,14360.0,86419
14360.0,14360.0,14270.0,14275.0,112241
14275.0,14275.0,14240.0,14265.0,65846
14265.0,14275.0,14190.0,14205.0,130346
14200.0,14205.0,14115.0,14115.0,111528
14115.0,14115.0,14000.0,14005.0,251991
14000.0,14055.0,13960.0,14020.0,233950
14020.0,14090.0,14005.0,14010.0,140406
14010.0,14080.0,13990.0,14015.0,281075
14005.0,14055.0,13900.0,13925.0,253134
13920.0,13950.0,13850.0,13950.0,273849
13940.0,14000.0,13910.0,13915.0,98534
13915.0,13920.0,13850.0,13852.0,136823
13852.0,13965.0,13845.0,13960.0,83604
13960.0,14050.0,13955.0,14040.0,82247
14040.0,14125.0,14040.0,14125.0,172701
14130.0,14200.0,14130.0,14195.0,95875
14192.0,14230.0,14150.0,14195.0,115047
14185.0,14225.0,14185.0,14215.0,61069
14210.0,14245.0,14202.0,14220.0,111588
14225.0,14245.0,14215.0,14240.0,75622
14240.0,14245.0,14165.0,14185.0,66133
14185.0,14195.0,14175.0,14185.0,16460
14185.0,14185.0,14170.0,14170.0,43460
14175.0,14190.0,14165.0,14175.0,29102
14175.0,14180.0,14125.0,14155.0,45775
14155.0,14165.0,14130.0,14135.0,36751
14130.0,14140.0,14115.0,14120.0,41371
14120.0,14140.0,14100.0,14140.0,31513
14130.0,14210.0,14130.0,14205.0,68155
14210.0,14220.0,14200.0,14210.0,42285
14210.0,14215.0,14140.0,14145.0,53605
14145.0,14170.0,14140.0,14170.0,38599
14170.0,14175.0,14150.0,14160.0,20948
14160.0,14190.0,14155.0,14190.0,46512
14190.0,14390.0,14190.0,14380.0,295868
14380.0,14540.0,14375.0,14515.0,489238
14510.0,14510.0,14400.0,14480.0,206991
14485.0,14490.0,14400.0,14415.0,103684
14410.0,14445.0,14400.0,14405.0,61659
14405.0,14405.0,14250.0,14270.0,116108
14270.0,14350.0,14240.0,14320.0,83509
14340.0,14385.0,14315.0,14345.0,60825
14345.0,14365.0,14250.0,14255.0,48445
14255.0,14255.0,14180.0,14210.0,87896
14210.0,14230.0,14170.0,14170.0,48018
14175.0,14205.0,14142.0,14157.0,265837
14155.0,14165.0,14060.0,14065.0,119955
14080.0,14210.0,14050.0,14170.0,172781
14165.0,14225.0,14165.0,14215.0,117818
14215.0,14220.0,14175.0,14200.0,72256
14205.0,14205.0,14135.0,14135.0,65226
14135.0,14160.0,14120.0,14135.0,69661
14140.0,14140.0,14080.0,14085.0,75207
14085.0,14125.0,14085.0,14115.0,70296
14115.0,14170.0,14040.0,14050.0,199395
14050.0,14085.0,14005.0,14025.0,248021
14010.0,14015.0,13885.0,13895.0,342021
13895.0,13905.0,13800.0,13805.0,483846
13000.0,13405.0,12825.0,12840.0,0
12845.0,13040.0,12810.0,12855.0,773929
12845.0,13150.0,12840.0,13130.0,557801
13145.0,13150.0,13000.0,13125.0,345467
13125.0,13395.0,13115.0,13375.0,351925
13375.0,13560.0,13335.0,13525.0,398749
13525.0,13715.0,13505.0,13690.0,357043
13695.0,13990.0,13690.0,13965.0,572493
13965.0,14000.0,13820.0,14000.0,593485
13995.0,14020.0,13905.0,13990.0,451410
13995.0,14200.0,13990.0,14180.0,593592
14182.0,14590.0,14170.0,14540.0,579029
14540.0,14550.0,14145.0,14215.0,537390
14205.0,14530.0,14200.0,14495.0,647661
14495.0,14570.0,14400.0,14520.0,677226
14530.0,14590.0,14495.0,14540.0,460350
14545.0,14675.0,14435.0,14480.0,690676
14480.0,14575.0,14415.0,14525.0,330634
14520.0,14520.0,14300.0,14420.0,282226
14410.0,14785.0,14410.0,14755.0,661393
14750.0,15000.0,14740.0,14990.0,997073
15075.0,15125.0,14985.0,15080.0,545674
