stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
1426.0,1400.0,1435.0,1400.0,268866
1400.0,1427.0,1437.0,1391.0,598012
1425.0,1450.0,1455.0,1423.0,450345
1450.0,1482.0,1497.0,1450.0,561685
1482.0,1501.0,1516.0,1482.0,275076
1501.0,1513.0,1514.0,1494.0,335462
1513.0,1533.0,1535.0,1504.0,206520
1533.0,1524.0,1554.0,1502.0,383583
1525.0,1525.0,1525.0,1500.0,665665
1524.0,1546.0,1546.0,1524.0,311786
1546.0,1544.0,1554.0,1531.0,367527
1544.0,1604.0,1604.0,1536.0,462442
1600.0,1581.0,1634.0,1580.0,181552
1580.0,1627.0,1627.0,1575.0,332038
1626.0,1640.0,1641.0,1607.0,261005
1641.0,1635.0,1647.0,1630.0,86694
1637.0,1628.0,1640.0,1625.0,81233
1628.0,1635.0,1645.0,1627.0,92133
1635.0,1624.0,1638.0,1622.0,75685
1624.0,1647.0,1651.0,1619.0,200331
1647.0,1663.0,1666.0,1647.0,119919
1661.0,1657.0,1674.0,1657.0,96080
1658.0,1657.0,1666.0,1654.0,95321
1656.0,1678.0,1684.0,1652.0,107523
1684.0,1690.0,1704.0,1669.0,200331
1691.0,1670.0,1693.0,1653.0,234510
1671.0,1635.0,1671.0,1635.0,197886
1636.0,1620.0,1636.0,1615.0,111080
1619.0,1650.0,1654.0,1618.0,166588
1649.0,1600.0,1655.0,1590.0,324346
1602.0,1616.0,1617.0,1600.0,232856
1616.0,1619.0,1633.0,1608.0,227588
1619.0,1669.0,1669.0,1600.0,498428
1669.0,1679.0,1681.0,1662.0,99441
1679.0,1693.0,1698.0,1677.0,95497
1688.0,1668.0,1694.0,1666.0,78890
1667.0,1677.0,1687.0,1667.0,112663
1677.0,1683.0,1694.0,1664.0,91411
1682.0,1678.0,1704.0,1671.0,190172
1678.0,1659.0,1680.0,1651.0,137692
1657.0,1670.0,1670.0,1650.0,290435
1670.0,1683.0,1688.0,1666.0,181050
1683.0,1681.0,1691.0,1674.0,104882
1680.0,1675.0,1686.0,1661.0,180823
1675.0,1692.0,1692.0,1663.0,395740
1691.0,1695.0,1719.0,1690.0,216920
1695.0,1720.0,1723.0,1695.0,250976
1720.0,1697.0,1725.0,1697.0,222045
1691.0,1712.0,1716.0,1691.0,244167
1712.0,1700.0,1720.0,1696.0,263577
1699.0,1721.0,1732.0,1699.0,502184
1721.0,1736.0,1741.0,1718.0,348118
1735.0,1790.0,1797.0,1734.0,327909
1790.0,1797.0,1798.0,1775.0,143542
1797.0,1815.0,1850.0,1780.0,337917
1815.0,1767.0,1819.0,1752.0,264002
1769.0,1786.0,1800.0,1757.0,207055
1788.0,1782.0,1801.0,1766.0,305666
1782.0,1785.0,1850.0,1781.0,540382
1785.0,1720.0,1833.0,1705.0,590205
1725.0,1742.0,1743.0,1703.0,572356
1743.0,1725.0,1769.0,1721.0,537156
1725.0,1819.0,1819.0,1705.0,1180314
1812.0,1843.0,1849.0,1806.0,317574
1848.0,1838.0,1880.0,1817.0,391399
1838.0,1839.0,1839.0,1801.0,457657
1844.0,1850.0,1898.0,1812.0,378391
1850.0,1842.0,1874.0,1806.0,716186
1842.0,1866.0,1950.0,1807.0,1661322
1864.0,1878.0,1880.0,1722.0,3023715
1945.0,2160.0,2200.0,1945.0,1131814
2150.0,2230.0,2235.0,2010.0,1017256
1955.0,1938.0,1958.0,1920.0,207586
1938.0,1930.0,1940.0,1915.0,146352
1931.0,1939.0,1954.0,1929.0,236406
1939.0,1941.0,1956.0,1937.0,208477
1944.0,1918.0,1960.0,1909.0,270605
1918.0,1916.0,1925.0,1864.0,345005
1925.0,1936.0,1969.0,1910.0,671444
1938.0,1925.0,1939.0,1913.0,177449
1922.0,1911.0,1937.0,1910.0,402522
1911.0,1900.0,1911.0,1900.0,124155
1900.0,1890.0,1918.0,1885.0,275894
1891.0,1888.0,1895.0,1882.0,170600
1888.0,1892.0,1903.0,1877.0,257545
1893.0,1861.0,1893.0,1861.0,278490
1861.0,1881.0,1883.0,1860.0,118470
1880.0,1874.0,1889.0,1872.0,93240
1874.0,1866.0,1882.0,1860.0,169798
1866.0,1875.0,1879.0,1859.0,113694
1871.0,1874.0,1885.0,1832.0,344496
1874.0,1917.0,1926.0,1870.0,247229
1917.0,1867.0,1949.0,1866.0,654823
1867.0,1831.0,1870.0,1827.0,184148
1831.0,1830.0,1835.0,1800.0,380825
1832.0,1849.0,1855.0,1823.0,204673
1849.0,1842.0,1862.0,1841.0,127463
1842.0,1867.0,1875.0,1835.0,152607
1866.0,1868.0,1869.0,1848.0,127749
1868.0,1866.0,1872.0,1828.0,368151
1867.0,1890.0,1890.0,1866.0,173444
1890.0,1883.0,1890.0,1883.0,76225
1883.0,1885.0,1900.0,1880.0,140687
1885.0,1942.0,1949.0,1884.0,226813
1945.0,1895.0,1945.0,1894.0,242588
1895.0,1877.0,1900.0,1877.0,170880
1885.0,1870.0,1902.0,1869.0,314065
1870.0,1864.0,1871.0,1859.0,199435
1864.0,1866.0,1877.0,1861.0,246364
1866.0,1867.0,1883.0,1856.0,261461
1865.0,1865.0,1872.0,1794.0,605803
1865.0,1860.0,1872.0,1831.0,370663
1860.0,1880.0,1881.0,1857.0,302127
1880.0,1841.0,1889.0,1837.0,494425
1841.0,1910.0,1916.0,1841.0,799199
1914.0,1928.0,1935.0,1762.0,1386850
1928.0,1971.0,1972.0,1912.0,522876
1971.0,1971.0,1972.0,1961.0,144070
1971.0,1960.0,1972.0,1960.0,194797
1971.0,1972.0,1972.0,1957.0,364894
1972.0,1956.0,1972.0,1956.0,448129
1961.0,1951.0,1963.0,1943.0,186321
1950.0,1923.0,1965.0,1923.0,221960
1923.0,1966.0,1972.0,1900.0,645705
1966.0,1955.0,1971.0,1940.0,290715
1955.0,1970.0,1972.0,1945.0,889841
1969.0,1900.0,1970.0,1900.0,636431
1900.0,1909.0,1940.0,1869.0,1082085
1897.0,1972.0,1972.0,1897.0,1364496
1972.0,1972.0,1972.0,1972.0,17667
1972.0,1972.0,1972.0,1972.0,88243
1972.0,1972.0,1972.0,1972.0,39612
