stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
51265.0,51265.0,51265.0,51265.0,4
51265.0,51265.0,51265.0,51265.0,1145
51270.0,51270.0,51270.0,51270.0,0
51265.0,51265.0,51265.0,51265.0,3400
51265.0,51265.0,51265.0,51265.0,0
51260.0,51260.0,51260.0,51260.0,0
51260.0,51260.0,51260.0,51260.0,600
51265.0,51265.0,51265.0,51265.0,0
51265.0,51265.0,51265.0,51265.0,95
51260.0,51260.0,51260.0,51260.0,0
51260.0,51260.0,51260.0,51260.0,1758
51265.0,51265.0,51265.0,51265.0,0
51265.0,51265.0,51265.0,51265.0,91
51270.0,51270.0,51270.0,51270.0,672
51270.0,51270.0,51270.0,51270.0,100
51270.0,51270.0,51270.0,51270.0,0
51270.0,51270.0,51270.0,51270.0,0
51270.0,51270.0,51260.0,51260.0,817
51260.0,51260.0,51260.0,51260.0,84
51275.0,51275.0,51275.0,51275.0,0
51265.0,51265.0,51265.0,51265.0,329
51275.0,51275.0,51275.0,51275.0,0
51275.0,51275.0,51275.0,51275.0,0
51270.0,51270.0,51270.0,51270.0,1
51255.0,51255.0,51255.0,51255.0,380
51265.0,51265.0,51265.0,51265.0,780
51265.0,51265.0,51265.0,51265.0,0
51265.0,51265.0,51265.0,51265.0,0
51265.0,51265.0,51265.0,51265.0,5629
51265.0,51265.0,51265.0,51265.0,0
51260.0,51260.0,51260.0,51260.0,0
51260.0,51260.0,51260.0,51260.0,107
51260.0,51260.0,51260.0,51260.0,1629
51260.0,51260.0,51260.0,51260.0,0
51270.0,51270.0,51270.0,51270.0,0
51270.0,51270.0,51270.0,51270.0,13
51270.0,51270.0,51270.0,51270.0,4
51255.0,51255.0,51255.0,51255.0,424
51270.0,51270.0,51270.0,51270.0,0
51260.0,51260.0,51260.0,51260.0,299
51260.0,51260.0,51260.0,51260.0,200
51270.0,51270.0,51270.0,51270.0,4
51270.0,51270.0,51270.0,51270.0,757
51260.0,51260.0,51260.0,51260.0,0
51265.0,51265.0,51265.0,51265.0,0
51265.0,51265.0,51265.0,51265.0,0
